,product_type,hair_type,consistency,ingredient,preference,brand,styling_tool
,Shampoo,Coarse Hair,Spray,Vitamin E,Clean,AG Hair,Brushes
,Conditioner,Color-Treated Hair,Non Aerosol Spray,Antioxidants,Paraben-Free,Agadir,Combs
,Hair Treatments,Curly Hair,Cream,Hyaluronic Acid,Sulfate-Free,Ahava,Clips
,Leave In Conditioner,Damaged Hair,Gel,Dimethicone,Dermatologist Approved,Aquage,Blow Dryers
,Detangler Spray,Fine Hair,Moose,Vitamin C,Fragrance-Free,Aquis,Curling Irons
,Styling Products,Normal Hair,Pomade,Essential Oils,Phthalate-Free,Alfaparf,Flat Irons
,Dry Shampoo,Oily Hair,Wax,Aloe Vera,Certified Cruelty-Free,Alterna Hair Care,Curling Wands
,Styling Tools,Coarse Hair,Oil,Peptides,Natural,Andis,Diffuser
,Hair Color,Color-Treated Hair,Primer,Alpha Hydroxy Acids,Non-Comedogenic,American Crew,
,Hair Care Kits and Value Sets,Frizzy Hair,Powder Spray,Titanium Dioxid,Oil-Free,Andrea,
,Hair Accessories,Volumizing Hair,,Amino Acids,Certified Organic,Archipelago,
,Hair Care Supplements,Thinning Hair,,Azelaic Acid,Gluten-Free,Ardell,
,Color Lock Spray,Dry Hair,,Beeswax,Hypoallergenic,Babyliss,
,U/V Protection,Dry Scalp,,Biotin,Vegan,Barex Italiana,
,,Hair Loss,,Caffeine,,Beautee Sense,
,,Sensitive Scalp,,Castor Oil,,Beauty Blender,
,,,,Ceramides,,Billy Jealousy,
,,,,Charcoal,,Bioken,
,,,,Coconut Oil,,Biolage,
,,,,Glycolic Acid,,Blinc,
,,,,Green Tea,,Bliss,
,,,,Herbal Extracts,,Bonacure,
,,,,Honey,,Brazilian Blowout,
,,,,Jojoba,,Brenda Christian Cosmetics,
,,,,Keratin,,Brush Off,
,,,,Lactic Acid,,Cacharel,
,,,,Malic Acid,,Calvin Klein,
,,,,Mica,,Cefine,
,,,,Minoxidil,,Carolina Herrera,
,,,,Niacinamide,,Chihtsai,
,,,,Olive Oil,,Chihtsai Olive,
,,,,Panthenol,,Clarisonic,
,,,,Plant Stem Cells,,Color Wow,
,,,,Probiotics,,ColorMe,
,,,,Resveratrol,,Crack,
,,,,Retinol,,Denman,
,,,,Salicylic Acid,,Dermalogica,
,,,,Shea Butter,,Dermorganic,
,,,,Sulfur,,DevaCurl,
,,,,Vitamin A,,Developlus,
,,,,Vitamin C,,Difi,
,,,,Vitamin E,,Divaderme,
,,,,Witch Hazel,,Doll Face,
,,,,Zinc Oxide,,DS Labs,
,,,,,,Egyptian Magic,
,,,,,,ELC Dao Of Hair,
,,,,,,Elegant,
,,,,,,Enjoy,
,,,,,,EShave,
,,,,,,Esthetic,
,,,,,,Fairy Tales,
,,,,,,Flowery,
,,,,,,Fracas,
,,,,,,Fekkai,
,,,,,,Frownies,
,,,,,,GiGi,
,,,,,,Glamglow,
,,,,,,Goldwell,
,,,,,,Grande Lips,
,,,,,,Hairart,
,,,,,,Hair Flairs,
,,,,,,Helen Of Troy,
,,,,,,Hempz Body Care,
,,,,,,Hollywood Fashion Secrets,
,,,,,,Hot Tools,
,,,,,,Hush,
,,,,,,I Coloniali,
,,,,,,Ibiza,
,,,,,,ICON,
,,,,,,Iden,
,,,,,,Igora Royal,
,,,,,,Illuminare,
,,,,,,It's A 10,
,,,,,,Jack Black,
